"stateID","state","localityID","locality","Indicator","Type","Estimate","X95..LCL","X95..UCL","sd"
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Attended four or more ANC visits during most recent pregnancy","Proportion",0.4465,0.3403,0.5651,0.0634
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Consumed any FeFol tablets during most recent pregnancy","Proportion",0.8655,0.8094,0.921,0.0328
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Consumed FeFol tablets for at least 3 months during most recent pregnancy","Proportion",0.6345,0.4792,0.7882,0.0853
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Did not attend ANC during most recent pregnancy","Proportion",0.1136,0.0626,0.1719,0.0302
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Experienced night-blindness during most recent pregnancy","Proportion",0.108,0.0581,0.1707,0.0293
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Gestational age (months) at first ANC visit for most recent pregnancy","Mean",3.3794,3.1378,3.6546,0.1216
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Number of ANC visits during most recent pregnancy","Mean",3.3629,2.9841,3.7729,0.2249
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Number of months FeFol tablets consumed during most recent pregnancy","Mean",3.1351,2.6241,3.6964,0.2683
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Received postnatal care (most recent birth)","Proportion",0.3608,0.2347,0.494,0.0703
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Received tetanus vaccination (2 doses)","Proportion",0.8128,0.7222,0.8829,0.0434
7,"Al-Gadarif",52,"Middle Geddaref","ANC : Received Vitamin A tablets postpartum (most recent birth)","Proportion",0.2517,0.1542,0.3502,0.0491
7,"Al-Gadarif",52,"Middle Geddaref","Carer : Age at first parity","Mean",19.1796,18.0431,20.0141,0.4955
7,"Al-Gadarif",52,"Middle Geddaref","Carer : Any anaemia","Proportion",0.0625,0,0.1667,0.0448
7,"Al-Gadarif",52,"Middle Geddaref","Carer : Any health worker present at health facility within area","Proportion",0.7233,0.5849,0.8348,0.0617
7,"Al-Gadarif",52,"Middle Geddaref","Carer : Carer is circumcised (FGM) : 15 - 19 years of age","Proportion",0.8,0.5622,0.9688,0.0981
7,"Al-Gadarif",52,"Middle Geddaref","Carer : Carer is circumcised (FGM) : 15 - 49 years (MICS compatible)","Proportion",0.877,0.7968,0.951,0.0396
7,"Al-Gadarif",52,"Middle Geddaref","Carer : Carer is circumcised (FGM) : 20 - 24 years of age","Proportion",0.8736,0.7407,0.9695,0.0726
